id,x,y,ra,dec,r2,flag,u,g,r,i,z,uerr,gerr,rerr,ierr,zerr,e(b-v),u(SExflag),g(SExflag),r(SExflag),i(SExflag),zflag
146550,13962.13,12315.09,35.2351964,-4.0636943,367.52,8,99.0,16.0717,14.5164,14.1864,99.0,99.0,0.0012,5.0E-4,5.0E-4,99.0,0.0202,19,19,19,19,19
225081,8179.4,19074.77,35.534687,-3.7144827,15.49,8,20.7599,15.3567,14.9158,14.9253,15.2565,0.0089,2.0E-4,2.0E-4,2.0E-4,4.0E-4,0.0227,3,3,3,3,3
45672,10208.74,3660.39,35.4295926,-4.5108804,6.29,8,16.1701,15.4084,14.9801,14.8525,15.2452,6.0E-4,2.0E-4,2.0E-4,1.0E-4,4.0E-4,0.0252,0,1,0,0,0
21733,12598.13,1720.53,35.30574,-4.6110868,6.13,8,16.5773,15.608,14.9586,14.8812,15.1766,7.0E-4,2.0E-4,2.0E-4,2.0E-4,5.0E-4,0.0272,0,0,0,0,0
9435,1532.04,654.56,35.8793519,-4.6660486,45.85,8,24.1215,15.4411,14.5279,13.541,15.0237,0.1858,2.0E-4,2.0E-4,1.0E-4,5.0E-4,0.0264,3,3,3,3,3
182369,11029.98,15032.31,35.3870838,-3.9233341,5.98,8,16.0729,15.5248,14.9839,14.9248,14.8425,4.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,0.0232,2,3,2,2,2
226440,17891.95,19331.41,35.0318487,-3.7011253,5.67,8,15.3703,15.3783,14.886,14.9922,14.7692,3.0E-4,2.0E-4,3.0E-4,2.0E-4,3.0E-4,0.0192,26,27,27,27,26
53265,4129.18,4373.0,35.744659,-4.4740078,8.2,8,15.6023,14.7947,14.4713,14.254,14.7682,4.0E-4,1.0E-4,2.0E-4,1.0E-4,4.0E-4,0.029,0,1,1,0,0
137962,12038.75,11337.6,35.3348121,-4.114219,6.0,8,16.0414,15.6117,14.9887,14.9233,14.7348,4.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,0.0219,0,0,0,0,0
175099,14122.02,14428.84,35.226947,-3.9544839,6.3,8,15.8179,15.347,14.7341,14.9019,14.7115,4.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,0.0213,0,1,1,0,0
58171,11770.89,4743.92,35.3486401,-4.4548919,6.41,8,15.7718,15.4917,14.9968,14.8303,14.6941,4.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,0.0268,2,3,2,3,2
19818,18987.32,1531.66,34.9745734,-4.6206975,8.23,8,15.5619,14.7491,14.3724,14.3012,14.6935,4.0E-4,1.0E-4,1.0E-4,1.0E-4,3.0E-4,0.0225,2,2,2,2,2
187290,7374.36,15450.16,35.5763952,-3.9017403,6.3,8,16.0201,15.5561,14.9476,14.8292,14.661,4.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0254,0,0,0,0,0
186199,2781.54,15431.98,35.814235,-3.9026123,7.0,8,15.2527,15.0568,14.7165,14.6754,14.6501,2.0E-4,2.0E-4,1.0E-4,1.0E-4,2.0E-4,0.026,0,1,0,0,0
229290,4804.03,18513.66,35.7094497,-3.7434383,6.04,8,15.3814,15.3974,14.9208,14.9029,14.6386,3.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0257,3,3,3,3,3
162839,19003.44,13227.8,34.9741124,-4.0164262,5.5,8,15.8035,15.3938,14.9067,14.8668,14.6258,3.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0211,0,0,0,1,0
133536,2308.32,10859.88,35.8388556,-4.1388188,6.74,8,15.5065,15.3085,14.9771,14.6851,14.6243,3.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,0.0246,2,3,3,2,2
152117,15972.01,12356.68,35.1310943,-4.0615106,6.27,8,15.2548,15.165,14.8116,14.82,14.6153,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0198,2,2,2,2,2
186456,18531.91,15411.43,34.9985992,-3.9036249,6.66,8,15.3507,14.9694,14.6867,14.6881,14.6024,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.019,2,3,3,3,2
145063,2195.06,11912.94,35.8446954,-4.0844093,6.9,8,15.7483,15.3671,14.8989,14.6202,14.5939,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0246,2,3,2,2,2
43958,14295.03,3605.74,35.2178155,-4.5136653,7.74,8,15.6853,14.8635,14.3729,14.2853,14.5783,5.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0253,2,2,2,2,2
207550,10196.44,17175.14,35.4302541,-3.8126275,6.56,8,15.9967,15.467,14.8883,14.8002,14.573,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0229,0,0,0,0,0
149231,14067.94,11951.83,35.2297103,-4.0824613,11.14,8,24.0818,14.9132,14.3219,14.5751,14.5643,0.1222,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0203,35,35,35,35,35
167377,334.76,13609.78,35.9409956,-3.9966908,6.3,8,15.3563,15.2036,14.8801,14.7516,14.5641,3.0E-4,2.0E-4,2.0E-4,2.0E-4,3.0E-4,0.0279,3,3,3,3,3
149124,3959.53,12235.69,35.7532961,-4.0677729,6.79,8,15.3907,15.2026,14.7834,14.6703,14.5322,3.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0245,0,1,0,1,0
147611,8482.59,12070.95,35.5190182,-4.0763362,6.69,8,16.6534,15.6261,14.9472,14.6795,14.4877,5.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0238,0,0,0,0,0
94113,3113.65,7796.65,35.7972086,-4.297102,7.21,8,15.4538,15.2811,14.782,14.5474,14.4531,3.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0272,0,0,0,1,0
152079,12672.64,12516.27,35.3019888,-4.0533157,7.23,8,15.4399,15.1054,14.6049,14.5669,14.4116,3.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0213,2,2,2,2,2
213419,14920.68,17697.63,35.1856443,-3.7855917,7.52,8,16.1784,15.3529,14.9503,14.6353,14.3987,4.0E-4,2.0E-4,2.0E-4,1.0E-4,3.0E-4,0.0216,0,1,1,0,0
211406,4301.65,17496.0,35.7354791,-3.7960063,7.47,8,16.51,15.5565,14.8973,14.5507,14.379,5.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.026,2,3,2,2,2
160702,13046.35,13272.92,35.2826409,-4.014219,7.35,8,15.2053,14.9908,14.6414,14.5915,14.3546,3.0E-4,2.0E-4,1.0E-4,2.0E-4,3.0E-4,0.0211,2,2,2,2,2
113881,17171.04,9232.17,35.0689107,-4.2229124,7.62,8,16.0939,15.4023,14.7558,14.5052,14.3524,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0201,2,3,2,2,2
30327,381.33,2534.52,35.9389368,-4.5688881,7.33,8,15.2988,15.0082,14.6026,14.4209,14.347,3.0E-4,2.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0268,2,2,2,2,2
228034,7658.36,18875.16,35.5616645,-3.7247924,7.83,8,15.3582,15.0224,14.632,14.4228,14.3352,3.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0226,0,0,0,0,0
9658,942.23,623.54,35.9099244,-4.6676326,6.28,8,17.2388,15.6561,14.9043,14.6956,14.3314,7.0E-4,2.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0276,2,2,2,2,2
