CATAID,COSMOS_ID_06,COSMOS_ID_08,COSMOS_ID_13,RA,DEC,r_mag
6397428,2824801,1754433.0,297788.0,149.660241095926,2.6680359797056,14.9805585275763
6397427,2824800,1754733.0,296271.0,149.659619071745,2.66529259797163,14.988594918274167
6397196,0,1753733.0,296769.0,149.626718870851,2.66906736112205,14.50853352456825
6396773,2819549,1749913.0,305270.0,149.589637884713,2.69454489860464,14.725530545421613
6394112,0,1759175.0,287051.0,149.610847704203,2.63287185166456,14.496740227421746
6393318,0,1732564.0,289871.0,149.847495262273,2.64683922146301,14.30561771571768
6393184,0,1731622.0,293027.0,149.799265207546,2.65294368352791,14.423071069490788
6392965,0,1730954.0,293265.0,149.7806165255,2.65534849113818,14.713012009900787
6391768,2775561,1724369.0,307436.0,149.793218414444,2.70229053560789,14.614936877420163
6391408,0,1723097.0,310389.0,149.780195022177,2.71097553331629,14.009795813640793
6388293,2749370,1707967.0,291511.0,149.916821206887,2.64696108177898,14.692420945640215
6387430,0,1703114.0,300161.0,150.02164705555,2.67898625074786,14.574655540234083
6386976,0,1702036.0,297397.0,149.967813101844,2.6842467006813,14.045007756654293
6386602,0,1700291.0,303471.0,149.929459161717,2.69433062728477,14.054861198826202
6386243,0,1699638.0,308143.0,149.984414365435,2.70287180834195,14.897427699039959
6386147,0,1698026.0,309106.0,149.921229707679,2.71335712349242,14.128757832772244
6385774,0,1697465.0,311685.0,150.011289228836,2.7175294780812,14.617504785543382
6382858,2712194,1684775.0,289333.0,150.186393615995,2.63705984555064,14.724070083220461
6382297,2708133,1682166.0,294892.0,150.139392552608,2.65481710486623,14.886406283185053
6382190,0,1682433.0,292722.0,150.067730596056,2.65326349247054,14.562595076845916
6381760,2705127,1680061.0,296289.0,150.102459692312,2.66855293104945,14.916220849366148
6381679,2704600,1680597.0,296965.0,150.219530477177,2.66646462411175,14.687316340692014
6381590,2704021,1680108.0,298725.0,150.07528218725,2.67086358040316,14.939747704699784
6381052,2701362,1679119.0,299802.0,150.194587486841,2.67757820152631,14.881814550544412
6380431,0,1676936.0,304765.0,150.091219488991,2.69317067856923,14.519084552960102
6380165,2696350,1675949.0,305756.0,150.131419655486,2.69622781418488,14.893237322237525
6379502,2691760,1673343.0,311407.0,150.158755017632,2.7164323931746,14.6367392272372
6379466,2691637,1673256.0,312191.0,150.098860984598,2.71718717250609,14.957530270507156
6379465,2691636,1673286.0,310544.0,150.100187426527,2.71703192060877,14.742505409864748
6379112,2689039,1671560.0,314998.0,150.149535738734,2.72770140597013,14.855043049572771
6376764,2674099,1662253.0,287320.0,150.21468715399,2.62856327921712,14.984458358957447
6376135,2669687,1659842.0,290639.0,150.392465737542,2.64159714867721,14.530222556929935
6376046,0,1659238.0,290482.0,150.277201619455,2.64428477101816,14.531269859161569
6375854,0,1658547.0,290781.0,150.383736518057,2.64828576245383,14.200489424528222
6375425,0,1656623.0,295911.0,150.244825615825,2.66325950816359,14.371900345690456
6375083,0,1654714.0,296917.0,150.362398636777,2.67335061423111,14.052550445699687
6374944,0,1653353.0,300041.0,150.287342866615,2.68240793187095,14.042977913068952
6374339,2656226,1651067.0,307836.0,150.279524805984,2.70004428090356,14.952758921470028
6373905,2652867,1648336.0,312862.0,150.237124253107,2.71878354743211,14.780508341695537
6373860,2652495,1647798.0,313878.0,150.32673452958,2.72263617745623,14.88657904804483
6373620,0,1647849.0,313314.0,150.322148790048,2.72168540172425,14.759330244375171
6373433,0,1647357.0,313842.0,150.301046722638,2.7250469782282,14.46511928294241
6370238,0,1634314.0,291286.0,150.559944002443,2.6487329398411,14.176676296264226
6369137,2619784,1627630.0,304161.0,150.479076541122,2.68961112177509,14.869110270579604
6369106,0,1626801.0,304046.0,150.445454891464,2.69201630788041,14.707842518840053
6351536,2478939,1542068.0,277381.0,149.560034390538,2.59679838440466,14.711597818534507
6351181,2476123,1540353.0,280196.0,149.558653724159,2.60854229889322,14.6789915977918
6346711,0,1524827.0,266382.0,149.580179995459,2.55827239415711,14.729350543255677
6346310,0,1522455.0,270749.0,149.609015905601,2.57542972938093,14.391191002547181
6346006,2440449,1521005.0,273882.0,149.610656019308,2.58547375951772,14.684934139996528
6345873,0,1520681.0,274747.0,149.719393647999,2.58865025087149,14.616379116759418
6345829,0,1520831.0,274743.0,149.604122477037,2.5875529426675,14.536073074039884
6345120,0,1516325.0,282989.0,149.645917260906,2.6160339310344,14.777715230903077
6345018,2432299,1515813.0,284743.0,149.671669187673,2.61913690708667,14.431579808663528
6344038,0,1512388.0,241803.0,149.885987165261,2.47890032908752,14.301450934009694
6342703,0,1505560.0,255217.0,149.793176333196,2.52610344393418,14.503869209287394
6341754,0,1499656.0,264308.0,149.823790376234,2.55874348018902,14.165853014709988
6341653,2407469,1501776.0,260726.0,149.832368376592,2.55587292160782,14.408436892026302
6341651,2407466,1500479.0,265185.0,149.837083515494,2.56119181393888,14.874913289752797
6341448,0,1499081.0,266326.0,149.775535247015,2.57000154521145,14.125498000392966
6339862,-9999,-9999.0,278358.0,149.832776375448,2.61566057325382,14.243900502992709
