"ROWID" "RA" "DEC" "MAG"
1 149.31603459412 1.69277968447278 13.7
2 149.417189269913 1.67823769919619 14.26
3 149.423138108294 1.61208421135976 14.23
4 149.513336799163 1.68393557103992 13.8
5 149.585190621902 1.68558125884537 14.26
6 149.757466061409 1.64391673589374 13.87
7 149.80219231524 1.62888428728384 14.27
8 149.822230496363 1.67971534542468 14.14
9 149.883055991634 1.60618947170031 14.36
10 149.948573472358 1.64110886827317 13.8
11 150.041940696966 1.63140713350621 14.23
12 150.285197432278 1.66677298964151 14.04
13 150.638733096318 1.66312811056126 14.32
14 149.322813436024 1.7194862548789 13.69
16 149.573467134873 1.71740751714265 14.08
17 149.656686953241 1.77117418513666 14.33
18 149.783320401698 1.7744510098643 14.22
19 149.878533880694 1.73576003204424 13.72
20 149.979035718334 1.71622972339589 13.98
21 150.369527766934 1.71275984759335 14.22
22 150.400959164124 1.72596267802527 13.87
23 150.41371672697 1.73870970327748 14.4
24 150.432846446776 1.72495772585243 14.22
25 150.520435088874 1.77581174193888 13.96
26 149.392081687365 1.8877421581678 14.16
27 149.77575929556 1.84577838415009 14.18
28 149.794474207215 1.8557396717691 14.07
29 150.062190972644 1.82176947582313 14.37
30 150.459392929848 1.88256763957625 13.59
31 150.593163609591 1.87974472974975 13.93
32 150.6437435289 1.80631950614181 13.87
33 149.653802853416 1.93132886302254 13.89
34 149.916603723496 1.95350443567487 14.38
35 150.184879254334 1.90880758783709 13.67
36 150.196888597636 1.96168087604579 13.82
37 149.533273767031 2.07290773341743 14.16
38 149.543751027743 2.03862181391481 14.26
39 149.617381240469 2.01768894051679 13.91
40 149.645349456002 2.0345298800115 14.21
41 150.299416096931 2.04754634625255 14.32
42 150.525259796076 2.04125488924159 14.16
43 150.702294614948 2.09203057569566 13.98
44 149.322739860354 2.17101503830779 14.26
45 149.356041815492 2.18573917415737 13.93
46 149.52689586871 2.17685801397027 13.93
47 149.628178080585 2.14706192569132 14.33
48 150.061345036699 2.15268045019843 13.86
49 150.112214379588 2.1006398576221 14.18
50 150.12630750803 2.15226474118215 14.4
51 150.284997765207 2.11258901772108 13.96
52 150.606431385585 2.16926880827103 14.14
53 150.626590083333 2.10822297449979 14.33
54 149.386525254104 2.25441538132906 13.49
55 149.417170861915 2.25088900199082 14.31
56 149.433409311158 2.20731645285003 14
57 149.460743309012 2.24349304102266 14.36
58 149.524155648701 2.2529362101433 13.72
59 150.045619931204 2.27292966613719 14.22
60 150.088445774213 2.2435561586002 14.35
61 150.11571666939 2.24505642292038 14.1
62 150.144822331235 2.24493114565249 14.14
63 150.482573270353 2.23180254289555 14.2
64 150.592563661427 2.22010481202725 14.37
65 149.364281576391 2.3803926877587 13.9
66 149.377616732618 2.39527349707983 13.56
67 149.507118612392 2.31596716976139 14.11
68 149.549569583549 2.30498533663889 14.13
69 149.623017738866 2.37013486073561 14.4
70 149.645333056616 2.35039343746478 14.4
71 149.920685183456 2.30295958205949 14.1
72 150.048576987753 2.35213777547924 14.4
73 150.656393642547 2.32253651490456 14.4
74 149.404200388361 2.43403402954491 14
75 149.598466859431 2.46199585727751 14.28
76 150.589124396252 2.41913977823795 14.03
78 150.180488385928 2.56379998625098 14.1
80 150.402582842941 2.58431017650558 13.57
81 150.497384683136 2.59382632763172 13.7
82 150.520696888624 2.58752788403062 13.75
83 150.629613040058 2.53299287145497 14.32
84 150.648429684291 2.55673341636323 14.11
85 150.700653821942 2.58591634079047 14.27
86 150.750149677913 2.57135247636881 13.6
87 150.244851574632 2.66328971935383 14.32
88 150.287356339152 2.68240818012384 14.07
89 150.362391737455 2.67327112761307 14.14
90 150.383742672726 2.64826855099009 14.13
91 150.477867457249 2.59999829583913 13.35
92 150.590329308707 2.66753830234547 13.93
93 149.326855793236 2.74332185338205 14.31
94 150.064742264032 2.78416018177953 14.39
95 150.143122018706 2.76399635677682 14.17
96 150.442656367147 2.74341247246653 13.85
97 150.481106536747 2.7129462457263 13.72
98 150.519907737354 2.75359609616488 14.06
99 150.673066513609 2.7532012174166 13.89
100 33.9903932743603 -5.23626688318092 14.17
101 34.7322235786226 -5.23705165504063 14.39
102 35.8551623771492 -5.23725255503854 14.36
103 35.9560706362892 -5.22963273181912 13.88
104 37.0682886071373 -5.20347074160353 14.36
105 34.8413083686649 -5.1974020137863 14.38
106 36.0534924529669 -5.12495308471645 14.28
107 36.2628937478642 -5.11046296521182 14.3
108 36.3109844118113 -5.17445130095448 14.32
109 36.5235449793164 -5.15770443843716 14.35
110 37.15327562655 -5.19636916214035 13.63
111 33.9459275281931 -5.08044366052241 13.61
112 33.9671906936368 -5.0429526659017 14.4
113 36.1170884132311 -5.0810101309887 14.3
114 36.8354850785775 -5.06243534186739 14.29
115 36.8747389257097 -5.06824081643801 14.11
116 34.8508397414631 -4.91115838756111 14.14
117 36.7810139393125 -4.96834701941286 14.3
118 37.0620890289696 -4.93048137081134 14.21
119 37.0912746367234 -4.90159032742948 14.4
120 33.9325905602109 -4.89370485372325 13.93
121 33.9915840397741 -4.89955972960016 14.28
122 34.020236398328 -4.84291984347214 14.33
123 35.138158649781 -4.89326392090842 14.21
124 35.3334292391347 -4.86089620026204 14.05
125 36.8316731800569 -4.88016012292449 13.84
126 33.9567992768014 -4.73392912400989 13.96
127 34.4200477309013 -4.7554645674224 14.31
128 35.9333917014112 -4.74189275739147 13.88
129 36.369649469936 -4.77709111335432 14.09
130 36.7001692002573 -4.76504257670926 14.26
131 37.0119544916074 -4.76137711982406 14.26
132 34.2121537951301 -4.60164865621621 14.39
133 34.8360689581313 -4.67815969722785 14.35
134 35.039569851378 -4.66387810221669 14.16
135 35.5771755543092 -4.69591254025944 14.25
136 35.869108476495 -4.61882183885825 14.23
138 35.9098234091273 -4.66763135705674 13.85
139 36.1579537141546 -4.6638329739607 14.33
140 34.0313524428652 -4.59685785395952 14.03
141 34.5508154262139 -4.57734781556281 14.12
142 34.5916544463917 -4.53740616128054 14.31
143 35.0334912606004 -4.58721067983261 14.26
144 35.6236896598399 -4.5259638090093 14.21
145 33.8544260010583 -4.40688949755195 13.75
146 33.9551275548665 -4.41426812085262 13.28
147 34.0036595040896 -4.47495536076483 14.19
148 34.0350340631115 -4.46452217886508 14.4
149 34.0818261585769 -4.4580046823372 14.4
150 34.1217027586049 -4.42925612604133 14.33
151 34.7934581403678 -4.49241275154772 13.96
152 35.344515143328 -4.41312858202628 14.23
153 35.7493669671544 -4.40204820174675 13.67
154 35.8815254174356 -4.49815347176968 14.08
155 33.9179029231952 -4.37976037416828 13.77
156 33.9202770978204 -4.36427204395718 13.89
157 34.0642272431596 -4.32618497441434 13.34
159 34.498451262166 -4.38086842706834 14.17
160 34.8552910039133 -4.33070956280722 14.22
161 35.916003985074 -4.38303116189167 14.32
162 36.2200464746227 -4.3538609286974 14.38
163 34.6720172865828 -4.24615875900112 14.32
164 34.9025645002525 -4.29119760012681 14.22
165 35.1155347341798 -4.27627977163757 14.12
166 35.1661666153632 -4.28652458515645 14.11
167 35.2811738403089 -4.2047408577099 14.36
168 35.4023741063682 -4.25637126844105 14.29
169 36.1690628271098 -4.22775955611532 14.02
170 36.43868744268 -4.2776368598198 14.09
171 36.574920052042 -4.28495686564451 14.4
172 34.3721072455944 -4.15786275100608 14.14
174 35.2702129746135 -4.16802000245016 14.39
175 35.5544474469338 -4.18321638816481 13.77
176 35.6701395103595 -4.19175443269502 13.63
178 35.8704938157169 -4.19340751749922 14.39
179 52.5118770060289 -28.5356056886891 14.27
180 54.0029964198883 -28.5139008024189 14.34
181 52.2930455644892 -28.4642288171376 14.17
182 53.2890236596424 -28.4434520305702 14.26
183 53.7313344466246 -28.468943637741 14.01
184 53.9827861642362 -28.4351334575679 13.79
185 52.6784488806833 -28.3352902931241 14.3
186 53.8206383861689 -28.367597539271 13.91
187 52.5864257875446 -28.2523366451414 14.19
188 53.150685466239 -28.244057008719 14.12
189 53.3216831130074 -28.2073318305552 14.34
190 53.187030466886 -28.1964081072257 13.93
191 53.4746395980723 -28.1590937181621 14.34
192 52.2966022366719 -28.0568491698346 13.91
193 52.4677515802676 -28.0032406620045 13.93
194 52.3968083416801 -27.9839417008652 14.14
195 52.7337787050043 -27.9325709494399 13.83
196 53.5819864051916 -27.9759216261097 14.3
197 52.3972506333441 -27.8539524477112 14.32
198 52.4103652279973 -27.8066451617634 14.3
199 52.5357034305596 -27.8764391795757 14.06
200 52.756771766473 -27.7095476909094 14.23
201 52.7712579275222 -27.7115964512482 14.32
202 52.9947591089855 -27.7764907778773 14.18
203 53.5926059337729 -27.7271770294056 14.35
204 52.5956325987629 -27.6145203729948 14.18
205 52.6543983904673 -27.6803278196314 14.14
206 53.2686165753973 -27.6755823307444 14
207 53.4636926827463 -27.6668410817235 14.1
208 53.465691784471 -27.6630601309314 14.24
209 53.4908344533178 -27.6064074510892 14.16
210 53.0119115457994 -27.5874704033924 14.4
211 53.1592598779563 -27.514964190971 14
212 53.1732466256093 -27.5947438247453 13.8
213 53.2227052948467 -27.5909787661535 14.28
214 53.4858808996916 -27.5791402555367 13.62
215 53.6012706221832 -27.5256099521953 14.25
216 53.6680272669256 -27.5049201197544 14.36
217 53.768722184498 -27.5781199446762 14.19
218 53.9284125445515 -27.5986365099003 14.38
219 53.0336162858041 -27.476177661037 14.33
220 53.2498314212795 -27.489706964289 14.17
221 53.7162831232294 -27.4977624950108 14.33
