USNO-B1.0|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|Epoch|pmRA|pmDE|Ndet|B1mag|R1mag|B2mag|R2mag|Imag
0916-0187845|149.203850|+01.622131|269|874|1974.5|     0|     0|2|     |19.30|20.87|     |
0916-0187846|149.204484|+01.622214|999|999|1974.5|     0|     0|2|20.22|     |20.86|     |
0916-0187847|149.209028|+01.663275| 19|205|1979.1|   -30|     0|5|19.45|17.88|19.64|17.64|16.82
0916-0187848|149.210820|+01.607459|849|514|1974.5|     0|     0|2|     |19.47|     |19.31|
0916-0187849|149.211528|+01.681198|126|155|1984.3|     0|     0|4|     |19.04|20.68|19.05|17.82
0916-0187850|149.213670|+01.673592|449|179|1971.5|     0|     0|2|20.03|     |20.69|     |
0916-0187851|149.213906|+01.675170| 44|169|1974.5|     0|     0|2|     |19.60|20.61|     |
0916-0187852|149.214028|+01.667778|150|149|1997.1|     0|     0|3|     |     |20.61|19.60|18.27
0916-0187853|149.215870|+01.673795|367|183|1973.0|    -2|   -14|4|19.57|19.21|20.62|19.56|
0916-0187854|149.216414|+01.644650|108|217|1985.8|     0|     0|4|19.32|     |19.77|19.45|18.80
0916-0187855|149.221317|+01.683820|869|955|1971.5|     0|     0|2|     |19.54|20.70|     |
0916-0187856|149.222098|+01.616420|999|999|1974.5|     0|     0|2|20.19|     |20.63|     |
0916-0187857|149.223739|+01.666095| 74|102|1973.0|     0|     0|4|19.73|19.27|20.36|19.39|
0916-0187858|149.227198|+01.603945|399|999|1974.5|     0|     0|2|     |19.52|     |19.59|
0916-0187859|149.227250|+01.604212| 74|250|1974.5|     0|     0|2|     |19.39|     |19.20|
0916-0187860|149.228098|+01.692328|175| 79|1976.6|    -8|     6|5|19.96|18.55|19.88|18.67|17.92
0916-0187861|149.229789|+01.679225|100|127|1977.8|     0|     0|5|18.48|16.86|17.85|16.64|16.92
0916-0187862|149.229842|+01.628042|999|205|1974.5|     0|     0|2|     |19.43|20.86|     |
0916-0187863|149.231409|+01.678164|999|963|1967.0|   184|   -44|3|19.52|18.44|20.87|     |
0916-0187864|149.235125|+01.697348| 73| 73|1977.9|    -2|     6|5|19.25|16.15|20.13|17.84|16.73
0916-0187865|149.237214|+01.693428|999|999|1974.6|     0|     0|2|     |17.24|     |     |18.75
0916-0187866|149.238223|+01.693014|134|295|1974.6|     0|     0|2|     |17.31|     |     |18.83
0916-0187867|149.239048|+01.603198|999|999|1974.5|     0|     0|2|     |19.50|20.71|     |
0916-0187868|149.244520|+01.674175|534|435|1971.5|     0|     0|2|20.16|     |20.46|     |
0916-0187869|149.248645|+01.636989|114| 35|1979.1|     0|     0|5|14.52|13.62|14.99|13.48|13.10
0916-0187870|149.249664|+01.677845| 48|300|1977.8|     6|   -14|5|19.65|19.39|20.24|18.91|18.36
0916-0187871|149.250145|+01.615275|999|999|1974.5|     0|     0|2|20.37|     |20.84|     |
0916-0187872|149.251381|+01.603267|208|234|1974.5|   -12|   -20|4|20.53|19.52|20.81|19.63|
0916-0187873|149.253720|+01.667187| 64|160|1994.0|     0|     0|2|     |     |20.17|19.70|
0916-0187874|149.254589|+01.659123|187|168|1974.5|     0|     0|4|17.78|19.27|18.66|19.27|
0916-0187875|149.255862|+01.624134|146| 86|1979.1|     0|    -8|5|17.48|17.74|18.52|17.83|17.51
0916-0187876|149.258373|+01.618645|805|317|1967.0|     0|     0|3|19.00|18.78|19.93|     |
0916-0187877|149.258559|+01.618748|218|107|1979.1|     0|     0|5|18.52|17.64|17.92|16.90|17.83
0916-0187878|149.258753|+01.618453|127|331|1967.0|    30|    12|3|19.34|18.83|20.31|     |
0916-0187879|149.260709|+01.642328|197|143|1979.1|    14|   -14|5|20.13|18.71|19.51|18.43|18.60
0916-0187880|149.261059|+01.610253| 78| 91|1979.1|     0|     0|5|19.84|18.05|19.92|18.18|17.86
0916-0187881|149.261262|+01.641848|386|209|1985.8|     0|     0|4|     |18.03|19.34|18.15|18.15
0916-0187882|149.261406|+01.609575|999|315|1974.6|     0|     0|2|     |19.19|     |     |18.71
0916-0187883|149.264270|+01.611273| 29|229|1974.5|     0|     0|2|     |19.38|20.68|     |
0916-0187884|149.265648|+01.619325|445|219|1982.1|     0|     0|3|     |19.52|20.40|19.64|
0916-0187885|149.266234|+01.631956|434|169|1952.0|     0|     0|2|19.70|19.50|     |     |
0916-0187886|149.266384|+01.610809|193|228|1974.5|     0|     0|4|19.83|19.41|20.38|19.32|
0916-0187887|149.266434|+01.631800|401|107|1967.0|     0|     0|3|19.98|19.42|20.51|     |
0916-0187888|149.266489|+01.643806|147|125|1982.1|     0|     0|3|     |18.04|20.51|     |18.51
0916-0187889|149.266889|+01.643581|999|670|1974.5|     0|     0|2|     |19.56|     |18.43|
0916-0187890|149.266989|+01.676617|999|784|1974.6|     0|     0|2|     |19.55|     |     |18.73
0916-0187891|149.267728|+01.649950|105|144|1985.8|     0|     0|4|     |19.46|20.21|19.23|18.41
0916-0187892|149.268414|+01.633284|313| 73|1979.1|    -4|     6|5|19.39|18.16|19.25|18.34|18.29
0916-0187893|149.268753|+01.633464|684|169|1974.6|     0|     0|2|19.87|     |     |     |18.55
0916-0187894|149.271217|+01.629675| 66| 84|1979.1|     0|     0|5|16.20|15.50|16.80|15.40|15.14
0916-0187895|149.271684|+01.681792|195|134|1977.8|     0|     0|5|18.32|17.71|19.06|18.27|17.42
0916-0187896|149.272128|+01.671595|177|198|1984.3|     0|     0|4|     |18.82|20.63|18.83|18.20
0916-0187897|149.272167|+01.681873|999| 54|1974.5|     0|     0|2|19.81|     |     |17.51|
0916-0187898|149.274167|+01.623870|214| 63|1979.1|     0|     0|5|20.28|18.61|20.36|18.60|17.70
0916-0187899|149.274209|+01.641545|999|789|1952.0|     0|     0|2|20.13|19.54|     |     |
0916-0187900|149.276217|+01.680409|153|177|1977.8|    12|     0|5|20.41|18.84|20.53|18.85|18.55
0916-0187901|149.278673|+01.659345|125| 65|1979.1|    -8|     4|5|17.32|16.45|17.42|16.08|15.99
0916-0187902|149.284112|+01.620178|999|323|1967.0|   -90|  -604|3|20.33|19.58|19.58|     |
0916-0187903|149.286056|+01.611545| 48|101|1982.1|    -8|     6|3|     |18.88|20.23|18.82|
0916-0187904|149.286820|+01.626675|188| 47|1979.1|     0|     0|5|15.51|15.27|15.62|14.40|14.12
0916-0187905|149.287889|+01.630492|429|999|1967.0|   244|   232|3|19.15|19.45|     |     |18.60
0916-0187906|149.289339|+01.622506|999|999|1974.5|     0|     0|2|20.90|     |19.99|     |
0916-0187907|149.290314|+01.666120|239| 60|1974.5|     0|     0|2|     |19.49|     |19.08|
0916-0187908|149.290525|+01.621806|559|700|1974.5|     0|     0|2|20.09|     |20.58|     |
0916-0187909|149.290831|+01.621878| 74|175|1974.5|     0|     0|2|20.07|     |20.58|     |
