USNO-B1.0|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|Epoch|pmRA|pmDE|Ndet|B1mag|R1mag|B2mag|R2mag|Imag
0613-0036165|052.102900|-28.615262| 91| 61|1978.1|   -10|   -26|5|16.27|14.25|16.18|14.74|13.96
0613-0036166|052.105667|-28.690142|947|285|1976.4|     0|     0|2|     |19.92|     |19.79|
0613-0036167|052.107406|-28.640384|999|999|1978.2|     0|     0|3|     |19.02|20.00|19.87|
0613-0036168|052.107803|-28.685217|430|388|1978.1|     0|     0|5|20.29|20.08|19.78|19.52|18.50
0613-0036169|052.112500|-28.637789|480|999|1983.6|     0|     0|4|     |20.00|20.26|19.85|18.48
0613-0036170|052.117089|-28.629112| 65| 64|1989.3|     0|     0|2|     |     |20.20|19.76|
0613-0036171|052.117617|-28.675559| 61|324|1978.1|    10|   -18|5|13.28|12.26|12.74|12.73|12.10
0613-0036172|052.117878|-28.614378|999|999|1978.2|   182|  -188|3|     |20.00|19.93|19.79|
0613-0036173|052.118492|-28.671073|313|999|1983.6|     0|     0|4|     |19.76|20.24|19.68|18.46
0613-0036174|052.119764|-28.681075| 94|185|1983.6|     0|     0|4|     |19.43|20.06|19.85|18.65
0613-0036175|052.122575|-28.697095| 31|129|1992.8|   -32|     8|3|     |     |20.22|19.47|18.72
0613-0036176|052.124984|-28.626856|249|196|1983.6|    34|   -32|4|     |18.97|20.23|19.43|18.26
0613-0036177|052.125237|-28.698539|314|999|1992.8|     0|     0|3|     |     |20.21|18.87|18.71
0613-0036178|052.125495|-28.648034| 73|999|1984.3|    -8|  -434|3|     |20.16|     |19.87|18.48
0613-0036179|052.129020|-28.621839| 71| 70|1978.1|   -10|   -22|5|16.88|14.71|16.90|15.17|14.25
0613-0036180|052.131867|-28.680173|179|145|1978.1|   -18|    -4|5|19.33|17.33|18.92|17.63|16.92
0613-0036181|052.133409|-28.691081|421|390|1998.4|     0|     0|2|     |     |     |19.87|18.48
0613-0036182|052.133509|-28.610009|160|199|1992.8|     0|     0|3|     |     |20.26|19.77|18.65
0613-0036183|052.135953|-28.657642|713|999|1978.2|     0|     0|3|     |19.86|20.23|19.76|
0613-0036184|052.138025|-28.650798| 73| 66|1978.1|     0|    12|5|16.65|14.87|16.61|15.22|14.50
0613-0036185|052.138209|-28.616845|128|128|1992.8|     0|     0|3|     |     |18.81|18.89|18.12
