USNO-B1.0|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|Epoch|pmRA|pmDE|Ndet|B1mag|R1mag|B2mag|R2mag|Imag
0846-0021061|033.800700|-05.330948|114| 49|1968.7|     0|     0|2|20.64|     |20.05|     |
0846-0021062|033.802834|-05.342337|771|999|1975.2|     0|     0|2|     |19.71|     |20.58|
0846-0021063|033.802962|-05.342873| 14|310|1974.7|     0|     0|2|     |19.61|     |     |18.59
0846-0021064|033.802975|-05.345762|  0|  0|2000.0|    -2|    -4|0|12.27|11.33|11.98|11.29|11.01
0846-0021065|033.806059|-05.345537|337|180|1964.1|     0|     0|3|19.86|19.96|20.62|     |
0846-0021066|033.806503|-05.314220|999| 95|1974.7|     0|     0|2|     |19.87|     |     |18.92
0846-0021067|033.806728|-05.344750|549|489|1977.7|     0|     0|3|     |19.97|20.70|20.39|
0846-0021068|033.808162|-05.393012|363|159|1995.1|     0|     0|2|     |     |     |20.74|18.93
0846-0021069|033.808387|-05.303570|113|174|1977.7|     0|     0|3|     |19.71|20.57|20.67|
0846-0021070|033.809273|-05.306739|999|999|1977.7|   106|   306|3|     |19.78|20.22|20.65|
0846-0021071|033.809375|-05.378237|108|125|1976.5|   -12|     6|5|19.40|17.73|20.20|17.78|16.64
0846-0021072|033.811428|-05.333656|263|759|1974.7|     0|     0|2|     |19.90|     |     |18.80
0846-0021073|033.811770|-05.335492|303|800|1974.7|     0|     0|2|     |19.90|     |     |18.77
0846-0021074|033.816542|-05.369184| 16|124|1990.9|   -40|    44|3|     |     |20.07|20.72|18.83
0846-0021075|033.817000|-05.349703|135|144|1976.5|     0|     0|5|21.07|19.27|20.57|20.05|18.28
0846-0021076|033.817764|-05.357537|999|999|1974.7|     0|     0|2|     |19.96|     |     |18.92
0846-0021077|033.818150|-05.325584|154|185|1977.7|    22|   -30|3|20.43|     |20.61|20.68|
0846-0021078|033.820934|-05.373123|871|999|1974.7|     0|     0|2|     |19.58|     |     |18.85
0846-0021079|033.822445|-05.325073| 56| 38|1976.5|     0|     0|5|16.50|15.07|17.43|15.28|14.45
0846-0021080|033.822681|-05.382431|999|999|1974.7|     0|     0|2|     |19.59|     |     |18.91
0846-0021081|033.823175|-05.354973|394|244|1972.0|     0|     0|4|20.51|19.56|19.68|20.43|
0846-0021082|033.828795|-05.307914|152|154|1981.9|     0|     0|4|     |18.82|20.63|19.98|17.67
0846-0021083|033.832173|-05.350617|128| 98|1976.5|    14|     0|5|17.06|15.63|18.16|15.90|15.01
0846-0021084|033.834387|-05.323623|139| 80|1976.5|   -10|   -22|5|17.77|15.90|18.61|15.99|14.72
0846-0021085|033.839973|-05.310387| 94|314|1968.7|     0|     0|2|     |19.50|20.61|     |
0846-0021086|033.840195|-05.340370|117| 39|1976.5|    36|    -2|5|15.56|13.90|16.15|13.92|12.99
0846-0021087|033.840645|-05.396450|243|999|1975.2|     0|     0|2|20.31|     |     |20.69|
0846-0021088|033.840787|-05.311220|  7|486|1968.4|     4|    34|3|19.45|19.01|     |18.91|
0846-0021089|033.840795|-05.311584|812|385|1971.7|     0|     0|4|19.35|18.75|20.35|     |18.76
0846-0021090|033.840989|-05.396273|338|954|1975.2|     0|     0|2|20.93|     |     |20.71|
0846-0021091|033.841456|-05.310053|999|999|1968.7|     0|     0|2|16.75|     |20.60|     |
0846-0021092|033.841598|-05.310873|375|900|1975.0|     0|     0|4|18.94|18.36|     |17.87|17.93
0846-0021093|033.842714|-05.307984|259|372|1977.7|     2|    64|3|14.61|     |13.21|11.87|
0846-0021094|033.843467|-05.306875|423|999|1954.8|     0|     0|2|17.55|15.73|     |     |
0846-0021095|033.844023|-05.395564|155|125|1977.7|   -22|    -2|3|20.81|     |20.37|20.44|
0846-0021096|033.844042|-05.305564| 99|329|1974.7|     0|     0|2|18.91|     |     |     |18.01
0846-0021097|033.845375|-05.304828| 45|999|1977.7|   -42|   -14|3|     |19.50|20.33|19.80|
0846-0021098|033.845375|-05.305273|298|794|1974.7|     0|     0|2|18.85|     |     |     |17.99
0846-0021099|033.850275|-05.316089|169|499|1975.2|     0|     0|2|     |19.95|     |20.66|
0846-0021100|033.852812|-05.333420| 69| 65|1976.5|     0|     0|5|17.97|18.28|19.35|18.71|18.20
0846-0021101|033.863262|-05.398262|152| 67|1976.5|    12|    -6|5|18.30|16.45|19.18|16.72|14.88
0846-0021102|033.863437|-05.395795|136|131|1981.9|     0|     0|4|     |19.37|20.00|20.32|18.93
0846-0021103|033.864448|-05.334984|135|339|1981.9|    16|    18|4|19.72|     |20.25|20.53|18.91
0846-0021104|033.865206|-05.343281| 47| 41|1981.7|  -384|  -128|3|     |19.95|     |20.69|18.52
0846-0021105|033.867289|-05.333300|174| 61|1976.5|    32|     0|5|19.10|16.65|19.66|17.15|15.01
0846-0021106|033.868978|-05.394592| 58| 58|1976.5|     0|     0|5|17.03|17.49|18.37|17.70|17.61
0846-0021107|033.870281|-05.316537|950|275|1968.7|     0|     0|2|     |19.81|19.17|     |
0846-0021108|033.870842|-05.317742|323|662|1977.7|     0|     0|3|20.09|     |20.04|20.30|
0846-0021109|033.871081|-05.316300|252|143|1976.5|     0|     0|5|16.85|18.01|17.83|17.16|16.71
0846-0021110|033.871562|-05.316181|405|199|1971.7|     0|     0|4|16.61|18.18|18.38|     |18.51
0846-0021111|033.872489|-05.316014|547|999|1968.7|     0|     0|2|     |19.03|20.56|     |
0846-0021112|033.873692|-05.331948|233|162|1981.9|     0|     0|4|     |19.26|20.60|19.95|18.44
0846-0021113|033.879231|-05.371056| 70|156|1976.5|   -12|     0|5|19.56|17.88|20.27|18.48|17.50
0846-0021114|033.879323|-05.358998|465|441|1968.1|     0|     0|3|20.68|19.61|     |     |18.94
0846-0021115|033.879587|-05.332414|224| 80|1995.1|     0|     0|2|     |     |     |20.70|18.94
0846-0021116|033.881956|-05.387906| 90| 30|1976.5|     0|     0|5|19.72|19.79|20.63|20.30|18.93
0846-0021117|033.883084|-05.339145| 93| 91|1976.5|    -4|     8|5|19.28|18.32|20.22|18.57|17.70
0846-0021118|033.883256|-05.344659| 48| 60|1976.5|    34|     8|5|15.53|14.01|16.23|14.27|13.54
0846-0021119|033.887028|-05.322784|322|460|1977.7|     0|     0|3|     |19.50|20.07|20.74|
0846-0021120|033.890825|-05.303692| 56| 72|1976.5|    -8|    10|5|19.32|17.97|20.42|18.19|17.48
0846-0021121|033.892656|-05.327500|173|863|1981.9|   -28|   -34|4|     |19.69|20.46|20.64|18.94
0846-0021122|033.896653|-05.329873|423|123|1977.7|     0|     0|3|20.95|     |20.57|20.59|
0846-0021123|033.903698|-05.302873| 78|185|1976.5|    -8|   -10|5|19.39|18.01|20.28|18.25|17.25
0846-0021124|033.904659|-05.361781| 38|212|1981.9|   -16|   -48|4|     |19.38|20.64|19.85|17.84
0846-0021125|033.907503|-05.377514|443|205|1968.7|     0|     0|2|     |20.00|20.23|     |
0846-0021126|033.907775|-05.375842|999|999|1954.8|     0|     0|2|21.09|19.92|     |     |
0846-0021127|033.908448|-05.367445| 77| 88|1976.5|     0|     0|5|19.26|19.71|20.54|19.62|18.90
0846-0021128|033.911325|-05.324350|159|181|1972.0|     0|     0|4|20.06|19.16|20.64|20.55|
0846-0021129|033.919739|-05.386670|999|999|1968.4|   120|  -286|3|21.43|19.77|     |20.63|
0846-0021130|033.922373|-05.397792| 62|119|1976.5|    12|    12|5|19.39|17.78|20.16|18.02|17.16
0846-0021131|033.922964|-05.397631|999|999|1977.7|   204|   380|3|     |19.87|20.55|20.14|
0846-0021132|033.925514|-05.364953|108|112|1976.5|   -10|    10|5|20.26|18.97|20.61|19.22|18.44
0846-0021133|033.926298|-05.384017| 98|111|1976.5|   -16|    -4|5|17.60|15.90|18.81|16.30|15.04
0846-0021134|033.927828|-05.334553| 59| 87|1976.5|   -18|   -20|5|18.63|17.01|19.75|17.39|15.82
0846-0021135|033.930600|-05.313214| 91| 75|1976.5|     0|     0|5|17.60|16.69|18.70|16.82|16.41
