"ROWID" "RA" "DEC" "MAG" "PRIORITY_FLAG"
1 149.823768863628 1.69938042062745 17.36699 3
2 150.139407854838 2.65483840282433 17.53705 3
3 149.589790270345 1.76140737098532 17.43289 3
4 149.637866528346 1.7084673396028 17.18177 3
5 150.517635182344 2.21404384019218 17.18357 3
6 150.47634569066 1.99793452824366 17.83235 3
7 150.484291013202 2.43388002002132 16.63365 3
8 34.0311142449175 -4.6557821557505 17.05 3
9 34.3164655086327 -4.74840807557027 17.19 3
10 34.587033867794 -4.90946292077606 17.15 3
11 34.6532265728705 -4.26374609767536 17.25 3
12 34.7594713113238 -5.10815592678002 17.08 3
13 35.2812495347715 -4.83788156862734 17.12 3
14 35.3678601588111 -4.70773761595348 17.17 3
15 35.6944641903442 -4.91588833281974 17.18 3
16 35.7556211187417 -4.43887744654717 16.94 3
17 35.9460858848239 -4.20697744501908 17.32 3
18 36.1143392125687 -5.00068538643181 17.45 3
19 36.3620421444075 -4.75560306192209 17.46 3
20 36.9622295603903 -4.40893660715595 17.38 3
21 53.6811297238006 -27.6745336997865 99 3
22 53.900514962027 -28.0043617741246 17.29 3
23 53.8946803658953 -28.1711053351511 17.42 3
24 52.5357400062031 -27.8999382970337 17.31 3
25 52.6633319473835 -28.3533938098999 17.35 3
26 52.9545696925826 -27.9483581476271 17.16 3
27 53.159422211179 -28.378057912216 17.26 3
