index number,Candidate Name,Duplicate Name,ra,dec,r-mag,type,SN field num,included in target list,removed not Fstar,DES <u> SingleEpoch,DES <g> SingleEpoch,DES <r> SingleEpoch,DES xform'd to SDSS u,DES xform'd to SDSS g,DES xform'd to SDSS r,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SVA1 CoAdd RA,SVA1 CoAdd dec,CoAdd mag_auto g,CoAdd mag_auto r,CoAdd mag_auto i,CoAdd mag_auto z,CoAdd mag_auto Y
54,FSC0026m4258,,6.493828,-42.986155,17.76,FStar,1,1,,18.58,18.01,17.75,18.90,18.06,17.76,0,0,0,0,0,6.493733,-42.986156,18.02,17.74,17.67,17.64,0
25,FSC0028m4226,,7.059868,-42.455513,17.14,FStar,1,1,,18.10,17.43,17.13,18.44,17.48,17.14,0,0,0,0,0,7.059858,-42.455515,17.43,17.11,17.04,17.01,0
65,FSC0029m4238,,7.254809,-42.657542,17.14,FStar,1,1,,17.93,17.42,17.12,18.23,17.47,17.14,0,0,0,0,0,7.254829,-42.657552,17.44,17.13,17.03,16.99,0
30,FSC0029m4226,,7.286981,-42.451991,17.18,FStar,1,1,,17.98,17.39,17.17,18.30,17.43,17.18,0,0,0,0,0,7.286976,-42.452005,17.40,17.16,17.12,17.11,0
13,FSC0029m4332,,7.356962,-43.554562,17.85,FStar,1,1,,18.62,18.08,17.84,18.93,18.12,17.85,0,0,0,0,0,7.357000,-43.554541,18.10,17.85,17.80,17.79,0
66,FSC0030m4232,,7.394499,-42.551206,17.07,FStar,1,1,,17.88,17.32,17.06,18.19,17.37,17.07,0,0,0,0,0,7.394506,-42.551223,17.33,17.05,16.99,16.96,0
23,FSC0030m4252,,7.404886,-42.887765,17.39,FStar,1,1,,18.34,17.69,17.38,18.68,17.74,17.39,0,0,0,0,0,7.404917,-42.887768,17.69,17.37,17.28,17.26,0
14,FSC0030m4334,,7.528168,-43.583675,17.11,FStar,1,1,,18.05,17.43,17.10,18.38,17.48,17.11,0,0,0,0,0,7.528205,-43.583652,17.44,17.11,17.02,16.99,0
2,FSC0031m4327,,7.772747,-43.462339,17.59,FStar,1,1,,18.52,17.86,17.58,18.86,17.91,17.59,0,0,0,0,0,7.772768,-43.462318,17.87,17.58,17.49,17.47,0
15,FSC0031m4335,,7.862167,-43.594486,17.05,FStar,1,1,,17.99,17.29,17.04,18.34,17.34,17.05,0,0,0,0,0,7.862189,-43.594463,17.30,17.05,16.98,16.97,0
