ID,RA,DEC,magG,magR,magI,magG_filter,magR_filter,magI_filter
SFSC0026m4258,6.493828,-42.986155,18.02,17.74,17.67,des_g,des_r,des_i
SFSC0028m4226,7.059868,-42.455513,17.43,17.11,17.04,des_g,des_r,des_i
SFSC0029m4238,7.254809,-42.657542,17.44,17.13,17.03,des_g,des_r,des_i
SFSC0029m4226,7.286981,-42.451991,17.4,17.16,17.12,des_g,des_r,des_i
SFSC0029m4332,7.356962,-43.554562,18.1,17.85,17.8,des_g,des_r,des_i
SFSC0030m4232,7.394499,-42.551206,17.33,17.05,16.99,des_g,des_r,des_i
SFSC0030m4252,7.404886,-42.887765,17.69,17.37,17.28,des_g,des_r,des_i
SFSC0030m4334,7.528168,-43.583675,17.44,17.11,17.02,des_g,des_r,des_i
SFSC0031m4327,7.772747,-43.462339,17.87,17.58,17.49,des_g,des_r,des_i
SFSC0031m4335,7.862167,-43.594486,17.3,17.05,16.98,des_g,des_r,des_i
SFSC0032m4217,8.066157,-42.297696,17.31,17.07,17.04,des_g,des_r,des_i
SFSC0033m4327,8.166986,-43.465389,17.61,17.33,17.24,des_g,des_r,des_i
SFSC0034m4211,8.484835,-42.206215,17.7,17.4,17.34,des_g,des_r,des_i
SFSC0034m4219,8.53045,-42.330685,17.35,17.1,17.06,des_g,des_r,des_i
SFSC0034m4314,8.583253,-43.25293,17.67,17.41,17.35,des_g,des_r,des_i
SFSC0035m4326,8.670349,-43.455265,17.5,17.23,17.16,des_g,des_r,des_i
SFSC0035m4215,8.701579,-42.261553,17.67,17.34,17.28,des_g,des_r,des_i
SFSC0036m4307,9.001654,-43.137675,17.61,17.32,17.26,des_g,des_r,des_i
SFSC0036m4303,9.062989,-43.067216,17.66,17.39,17.32,des_g,des_r,des_i
SFSC0037m4303,9.182107,-43.065867,17.58,17.33,17.27,des_g,des_r,des_i
SFSC0033m4408,8.283522,-44.143925,17.61,17.26,17.15,des_g,des_r,des_i
SFSC0034m4427,8.536757,-44.463253,17.4,17.13,17.06,des_g,des_r,des_i
SFSC0034m4350,8.577075,-43.856187,17.69,17.41,17.33,des_g,des_r,des_i
SFSC0035m4414,8.675664,-44.243704,17.54,17.21,17.11,des_g,des_r,des_i
SFSC0035m4403,8.68444,-44.066977,17.76,17.47,17.39,des_g,des_r,des_i
SFSC0035m4410,8.829953,-44.176177,17.43,17.14,17.07,des_g,des_r,des_i
SFSC0036m4452,8.980378,-44.87965,17.72,17.39,17.33,des_g,des_r,des_i
SFSC0036m4331,9.016872,-43.527245,17.55,17.27,17.2,des_g,des_r,des_i
SFSC0036m4440,9.077628,-44.677134,17.52,17.26,17.18,des_g,des_r,des_i
SFSC0038m4433,9.613846,-44.572984,17.59,17.33,17.26,des_g,des_r,des_i
SFSC0039m4321,9.797269,-43.359624,17.71,17.38,17.28,des_g,des_r,des_i
SFSC0040m4403,10.103141,-44.073341,17.6,17.3,17.21,des_g,des_r,des_i
SFSC0041m4410,10.249852,-44.179365,17.77,17.53,17.47,des_g,des_r,des_i
SFSC0041m4401,10.293836,-44.03221,17.54,17.3,17.24,des_g,des_r,des_i
SFSC0041m4322,10.33889,-43.382544,17.7,17.38,17.29,des_g,des_r,des_i
SFSC0042m4320,10.554478,-43.349602,17.46,17.21,17.16,des_g,des_r,des_i
SFSC0042m4402,10.624929,-44.047578,18.23,17.81,16.88,des_g,des_r,des_i
SFSC0043m4409,10.726477,-44.174643,17.93,17.64,17.57,des_g,des_r,des_i
SFSC0043m4355,10.744636,-43.938123,17.39,17.06,16.98,des_g,des_r,des_i
SFSC0044m4354,10.87899,-43.910408,17.33,17.04,16.96,des_g,des_r,des_i
SFSC0248p0006,42.107566,0.094312,17.77,17.42,17.31,des_g,des_r,des_i
SFSC0249p0037,42.2271,0.620023,18.44,18.15,18.08,des_g,des_r,des_i
SFSC0249p0001,42.290548,0.024207,18.36,18.06,17.97,des_g,des_r,des_i
SFSC0249p0023,42.365053,0.385188,16.87,16.58,16.5,des_g,des_r,des_i
SFSC0250m0057,42.461349,-0.96554,17.66,17.3,17.19,des_g,des_r,des_i
SFSC0250p0012,42.557672,0.202057,18.34,18.04,17.96,des_g,des_r,des_i
SFSC0250p0035,42.599308,0.587527,17.59,17.33,17.25,des_g,des_r,des_i
SFSC0251m0004,42.67232,-0.083681,17.63,17.27,17.18,des_g,des_r,des_i
SFSC0251p0101,42.726102,1.021985,99,99,99,des_g,des_r,des_i
SFSC0252m0015,42.878933,-0.26296,17.34,17.04,16.96,des_g,des_r,des_i
SFSC0252m0029,42.958801,-0.499869,99,99,99,des_g,des_r,des_i
SFSC0252m0040,43.01187,-0.685557,18.37,18.11,18.06,des_g,des_r,des_i
SFSC0252m0014,43.012639,-0.242191,18.32,18.01,17.91,des_g,des_r,des_i
SFSC0252m0045,43.026159,-0.761189,17.96,17.64,17.56,des_g,des_r,des_i
SFSC0253m0049,43.365199,-0.828826,99,99,99,des_g,des_r,des_i
SFSC0253m0012,43.373601,-0.224559,99,99,99,des_g,des_r,des_i
SFSC0254p0009,43.42262,0.148611,18.56,18.18,18.05,des_g,des_r,des_i
